2025-05-03 06:49:29 | INFO     | DF | Running on torch 2.7.0+cpu
2025-05-03 06:49:29 | INFO     | DF | Running on host DESKTOP-35EJ7QN
2025-05-03 06:49:29 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-05-03 06:49:29 | INFO     | DF | Running with post-filter (beta: 0.02)
2025-05-03 06:49:29 | INFO     | DF | Initializing model `deepfilternet3`
2025-05-03 06:49:29 | WARNING  | DF | Could not find `best` checkpoint. Checking for default...
2025-05-03 06:49:29 | ERROR    | DF | Could not find a checkpoint
2025-05-03 06:54:18 | INFO     | DF | Running on torch 2.7.0+cpu
2025-05-03 06:54:18 | INFO     | DF | Running on host DESKTOP-35EJ7QN
2025-05-03 06:54:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-05-03 06:54:19 | INFO     | DF | Running with post-filter (beta: 0.02)
2025-05-03 06:54:19 | INFO     | DF | Initializing model `deepfilternet3`
2025-05-03 06:54:19 | INFO     | DF | Found checkpoint models/DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-05-03 06:54:19 | INFO     | DF | Running on device cpu
2025-05-03 06:54:19 | INFO     | DF | Model loaded
2025-06-15 12:25:06 | INFO     | DF | Running on torch 2.7.0+cpu
2025-06-15 12:25:06 | INFO     | DF | Running on host DESKTOP-35EJ7QN
2025-06-15 12:25:06 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-06-15 12:25:06 | INFO     | DF | Running with post-filter (beta: 0.02)
2025-06-15 12:25:06 | INFO     | DF | Initializing model `deepfilternet3`
2025-06-15 12:25:06 | INFO     | DF | Found checkpoint D:\Coding\Python\Audio-Cleaner-Web\models/DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-06-15 12:25:06 | INFO     | DF | Running on device cpu
2025-06-15 12:25:06 | INFO     | DF | Model loaded
2025-06-15 12:25:37 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-06-15 12:25:37 | INFO     | DF | Running with post-filter (beta: 0.02)
2025-06-15 12:25:37 | INFO     | DF | Initializing model `deepfilternet3`
2025-06-15 12:25:37 | INFO     | DF | Found checkpoint D:\Coding\Python\Audio-Cleaner-Web\models/DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-06-15 12:25:37 | INFO     | DF | Running on device cpu
2025-06-15 12:25:37 | INFO     | DF | Model loaded
2025-06-15 12:41:50 | INFO     | DF | Running on torch 2.7.0+cpu
2025-06-15 12:41:50 | INFO     | DF | Running on host DESKTOP-35EJ7QN
2025-06-15 12:41:50 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-06-15 12:41:50 | INFO     | DF | Running with post-filter (beta: 0.02)
2025-06-15 12:41:50 | INFO     | DF | Initializing model `deepfilternet3`
2025-06-15 12:41:50 | INFO     | DF | Found checkpoint D:\Coding\Python\Audio-Cleaner-Web\models/DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-06-15 12:41:50 | INFO     | DF | Running on device cpu
2025-06-15 12:41:50 | INFO     | DF | Model loaded
